"ID","cohort","Cer(d18:0_24:1)","Cer(d20:0_22:1)","Cer(d20:1_14:0)","Cer(d20:1_16:0)","Cer(d20:1_22:0)","Cer(d24:0_19:1)","Cer(d42:3)","Cer(m20:1_22:0","Cer(m42:1","Hex1Cer(d34:1","Hex1Cer(d34:1)","Hex2Cer(d34:1)","LPE(18:2)-H","LPE(20:4)-H","PC(14:0_20:4)","PC(16:0_18:2)","PC(16:0e_20:4)","PC(16:1e_18:2)","PC(16:1e_20:4)","PC(17:0_18:2)","PC(18:0_18:1)","PC(18:0_18:2)","PC(18:1_18:1)","PC(18:1_22:6)","PC(18:2_18:2)","PC(34:4D8)","PC(8:0e_10:0)","PE(16:0_20:4)-H","PE(16:0_22:6)-H","PE(16:1e_20:4)-H","PE(18:0_20:4)-H","PE(18:1_20:4)-H","PE(18:2e_20:4)-H","PI(16:0_18:2)-H","PI(16:0_20:4)-H","PI(18:0_18:2)-H","PI(18:0_20:4)-H","PI(22:0_18:3)-H","SM(d36:2D9)"
"1-28 CBC",2022,3762065.852,851947.6156,0.102536378,103887893.2,98558.384,195790.9972,63385.73844,206211.7696,40819.02131,100065.7535,938050.5262,1354828.364,328088.4346,351983.3403,1880.197824,14103.67196,8585.077702,4203.933935,14850.81458,82713.0058,298526.216,1668503.294,356803.0931,471871.3989,3369578.304,66157.84263,267016.3511,166725.7612,644341.6986,74081.09909,226218.4078,84832.79263,26252.34552,795044.228,535612.7121,2236987.538,4270428.826,696419.0801,144202.7253
"1-30 CBC",2022,5387652.26,1406835.816,1010593.402,43250.44829,205628.7471,470213.7287,68756.37046,402988.1387,73757.35893,106530.2438,1190539.071,635786.6893,160023.2602,430948.675,52060.446190388,74.50892163,49075.78845813,242825.300043838,1112.189515,190440.6502,230321.2559,942737.4058,45896273.32,153878.6417094,1586297.872,47415.73193,365014.942,120317.8411,167130.6859,274281.73377075,215061.8849,70785.82894,4617.200384,579895.8813,789040.8165,1330099.773,9010911.521,583716.874,5050.545369
"1-31 CBC",2022,2601585.782,999946.3226,5.729223174,5611702.078,147664.6874,208141.0831,48233.24675,182468.6218,21012.59032,97393.18631,373077.5271,426311.0041,121736.4017,184572.0314,28604.9847637,157.9077794,63948.40105268,1437797.45325351,146817.053409418,99183.95595214,37413.88126,80495.68411,62351.89987,236940.81703562,114017.0479,228096.4405,548913.361881564,47467.44013,455715.0119,264746.11394943,1746.371296,63913.04094,821.0735278,527867.8393,208061.5939,2204395.066,2568099.706,824231.2775,1892801.36790245
"1-34 CBC",2022,3871393.468,1068929.748,15728.53346,286160844.3,95182.5311,155811.7427,79419.23669,191660.2044,42967.6286,155119.2583,2267330.709,471098.8135,103753.4939,334161.6344,34964.471535156,263.4092787,3098.438773,1246.246254,59950.642180759,133824.5907,208232.6144,1857839.624,90170542.3,172095.6909606,999178.5453,59066.51391,126064.9695,118512.2896,103023.0445,4709.676937,283333.0077,9108.710533,9062.305573,392048.7679,511138.2634,1156122.151,4078803.355,554172.644,4754.307637
"1-35 CBC",2022,8267973.238,1701047.77,1012230.967,42411.02196,170211.0041,265370.8102,45977.18037,546733.3616,55770.04664,159841.9514,784657.1713,872836.9929,189511.7097,241393.3476,1069.401957,3756.027331,7161.729926,2070109.72225279,11165.11702,54861.1305,533470.7858,1046554.486,697196.66,95412.85262,1719883.104,121558.49,48780.08899,248611.9974,1661824.441,36526.12342,309564.6218,238368.3863,60295.38198,1203756.308,1624130.69,2552159.928,10996058.67,386224.9569,25915.52021
"1-36 CBC",2022,5749697.031,1325196.333,980463.521,128718046,42447.12448,40228.06249,50284.82039,101758.3116,54016.22713,72319.41839,1026746.837,1559626.295,87032.13718,184005.2589,32524.391562142,159.87567,49832.10085076,772261.235572882,73967.419764907,27105.41296,29962.40413,630622.8836,1469140.111,107653.02430082,257388.9878,117462.9182,288339.530670152,128466.1262,168670.8893,224646.25062592,223860.0145,106216.4967,926.9584553,1002699.512,611551.4053,2696565.201,5195808,524297.3933,440172.00600528
"1-38 CBC",2022,3549738.336,780469.3246,1272207.953,97189355.14,113228.7106,114767.3289,31957.34319,220095.307,28002.67534,104196.1509,785513.113,1438608.607,34138.02913,55238.96697,32934.593227354,671361.110861734,57101.84356178,1078750.99411809,91191.582724427,83810.56804673,145130.6979,30494.19847,2133872.385,215266.88368005,221241.2395,386942.6227,398392.798186996,126216.7597,161460.905,26742.91837,69456.11118,132019.0356,10484.22041,583838.2402,491489.2101,1857548.816,5907189.085,557196.4038,1822171.06404694
"1-4 CBC",2022,1318578.22,792177.5504,811776.937,49804322.6431384,60382.69733,85330.60991,90358.34055,108605.0627,66580.0468,72263.64441,1138118.792,972377.2805,716196.5125,1011125.285,42776.32507112,1409.267779,60560.80162225,246855.144859476,65038.393180978,150971.3194,268166.0308,841591.4273,2445148.324,8872.530918,696886.9805,349027.1294,262332.8873,845298.4669,484213.1132,18021.23771,791133.3184,120028.6213,2158.4135,1599233.424,818712.5522,2618395.933,5159681.792,597647.1897,164113.9778
"1-43 CBC",2022,8133065.508,1627486.652,1183479.985,93640577.56,142876.0914,356797.0901,39027.38065,282081.9137,56896.19428,225303.7031,1340021.145,1908270.586,288250.6723,364179.6783,61780.068225006,1412.530771,27202.14459128,562.8186316,1248.164462,203011.9641,165639.8107,1840887.202,17770082.22,10218.38568,953618.9191,18187.92622,327386.532543596,406260.5387,247789.8211,44944.14175,501440.2679,36049.52414,22651.46441,796065.1025,713470.9543,2643814.213,6619096.415,487480.3834,74202.38123
"1-45 CBC",2022,1189428.106,1669999.911,320183.9725,16076.94474,196393.5595,618752.0233,27277.49512,45632.26175,297129.6286,78476.16289,508293.1444,1129242.796,424576.9944,763862.3249,50415.6860582,832202.0656,72630.18160233,708120.531905416,95652.145092821,137720.5343,61664.44302,7250064.316,620362.2335,152633.96910015,8121520.082,240732.4353,71819.24044,461696.3997,187942.3395,23819.47539,268592.4922,59850.06773,26526866.92,687649.6562,1541899.866,1400468.968,5712138.766,241386.7653,167695.2946
